TESTY;WYSOKOSC;SZEROKOSC;PROPORCJA;MATERIALY;DOMKI;KOPALNIE;SREDNIA SIEC;NAJGORSZA SIEC;NAJLEPSZA SIEC;SREDNIA ALGORYTM;NAJGORSZA ALGORYTM;NAJLEPSZA ALGORYTM
10;6;8;0.5;8;23.9;24.1;0.0014038324356079102;0.0020380020141601562;0.0010304450988769531;0.09549913406372071;0.1254427433013916;0.06664896011352539
10;6;8;0.7;2;33.5;14.5;0.0020513296127319335;0.004866361618041992;0.0007748603820800781;0.2421210765838623;0.386887788772583;0.056157827377319336
10;6;8;0.7;5;32.8;15.2;0.001250290870666504;0.0028533935546875;0.0005614757537841797;0.10044236183166504;0.20093441009521484;0.03925347328186035
10;6;8;0.7;8;33.6;14.4;0.0011777162551879882;0.0019354820251464844;0.0007123947143554688;0.07998905181884766;0.10421872138977051;0.028765439987182617
10;6;8;0.9;2;43.5;4.5;0.0009095668792724609;0.005289793014526367;0.0002601146697998047;0.025840210914611816;0.054666996002197266;0.006586313247680664
10;6;8;0.9;5;42.9;5.1;0.0008861064910888672;0.0012035369873046875;0.00044274330139160156;0.031131410598754884;0.06566309928894043;0.0023293495178222656
10;6;8;0.9;8;44.4;3.6;0.0007170200347900391;0.0012443065643310547;0.00039124488830566406;0.014640545845031739;0.025437355041503906;0.0025238990783691406
10;6;10;0.5;2;29.5;30.5;0.0026906490325927734;0.003679513931274414;0.0019147396087646484;0.7711842060089111;1.0329797267913818;0.5967388153076172
10;6;10;0.5;5;32.9;27.1;0.0028326749801635743;0.004300832748413086;0.0019261837005615234;0.4427680015563965;0.5722362995147705;0.31207871437072754
10;6;10;0.5;8;29.7;30.3;0.002968120574951172;0.004575014114379883;0.0017392635345458984;0.2659072637557983;0.536745548248291;0.14572906494140625
10;6;10;0.7;2;43.3;16.7;0.001956319808959961;0.0030651092529296875;0.0012917518615722656;0.5120721578598022;1.044773817062378;0.21941781044006348
10;6;10;0.7;5;40.6;19.4;0.00172576904296875;0.0027618408203125;0.0010333061218261719;0.28736913204193115;0.3916921615600586;0.19415497779846191
10;6;10;0.7;8;42.2;17.8;0.0019899606704711914;0.003275156021118164;0.001432180404663086;0.22320663928985596;0.35619616508483887;0.12016177177429199
